"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.97939589075291e-228,0.350225807310001,0.985,0.949,1.00349032996449e-223,"RPS10"
1.3261197535718e-180,0.164282902821449,1,1,4.46650394200516e-176,"RPL41"
2.5358004070027e-144,0.164510458036617,1,1,8.5408293508258e-140,"RPL26"
7.30689145820618e-139,0.202491790217576,1,0.997,2.46103411203842e-134,"RPS21"
3.47533455524432e-131,-0.290172624174586,0.983,0.985,1.17052743155184e-126,"MIF"
7.4199785080375e-114,-0.277411527701382,0.945,0.947,2.49912296129211e-109,"AC090498.1"
8.24338628036008e-83,-0.486541591239291,0.708,0.754,2.77645493308808e-78,"BNIP3"
1.2383597752287e-77,0.220905676056828,0.936,0.855,4.1709195589478e-73,"NDUFA11"
2.30822735207534e-77,0.242268356625851,0.906,0.793,7.77434054452496e-73,"NDUFC2"
1.44326478412963e-67,0.216756249726236,0.746,0.585,4.86106011942702e-63,"PSMA2"
5.88571096742995e-64,0.156618378664408,0.999,0.998,1.98236631094008e-59,"YBX1"
3.97494985556722e-63,-0.616450759658203,0.605,0.69,1.3388028608536e-58,"MT1X"
5.87369058137161e-59,0.201304310281763,0.997,0.992,1.97831772471177e-54,"HSP90AB1"
2.66290678142963e-58,0.172855282429194,0.999,0.999,8.96893633053314e-54,"TUBB"
1.7910130291698e-56,0.163821205369252,0.982,0.956,6.03231098354679e-52,"RPL36A"
9.6057432124707e-54,0.253229888469935,0.998,0.988,3.23531037139226e-49,"HSP90AA1"
9.49791006670157e-53,-0.101004646002608,1,1,3.19899108956576e-48,"RPS28"
1.50783978224018e-52,0.186279015699178,0.803,0.663,5.07855517056314e-48,"MINOS1"
3.38131935275959e-51,0.142255513657145,0.997,0.992,1.13886217120296e-46,"PABPC1"
2.54322093336622e-48,0.204383077288217,0.976,0.933,8.56582242567077e-44,"HSPA8"
6.83485397894073e-48,0.242732975045167,0.999,0.994,2.30204716864703e-43,"TUBA1B"
