"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",193,0.717041126879269,2.60799498724197,1e-10,2.5e-09,1.52631578947368e-09,945,"tags=57%, list=12%, signal=51%","RPS10/PSMA2/HSP90AB1/HSPD1/HNRNPA2B1/RANBP1/PABPC1/NME1/YWHAQ/PA2G4/HSPE1/CCT7/SSB/PCNA/CCT3/SSBP1/PSMB2/PSMA4/NPM1/ERH/SRSF7/PSMA1/PSMD14/DUT/IMPDH2/CDK4/MRPL23/CCT5/TYMS/XRCC6/KPNA2/PSMB3/ILF2/MCM7/APEX1/HNRNPA3/RRM1/C1QBP/PRDX4/EIF4A1/CCT4/PRDX3/HNRNPD/VDAC1/RAN/SRM/SNRPG/GLO1/EIF3J/TCP1/CLNS1A/BUB3/CCT2/PPM1G/PSMC4/EIF4G2/MAD2L1/PSMD8/MCM5/TUFM/SRSF3/SRSF1/PPIA/MCM6/SNRPD1/CTPS1/RPL14/GOT2/TFDP1/CYC1/DEK/HNRNPR/RFC4/SRSF2/PABPC4/HNRNPC/RUVBL2/PHB2/EIF4E/COPS5/PSMC6/PSMD7/PSMD1/PTGES3/ACP1/PSMA7/UBE2L3/G3BP1/COX5A/DDX18/SERBP1/EIF1AX/SNRPD2/POLD2/VBP1/YWHAE/POLE3/SLC25A3/SNRPA1/HNRNPU/HPRT1/SMARCC1/VDAC3/EIF2S2/TRIM28/MRPL9/EIF2S1/MCM2/SRPK1/SNRPB2"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",183,0.689690232345815,2.49714766369643,1e-10,2.5e-09,1.52631578947368e-09,1275,"tags=52%, list=16%, signal=45%","TUBB/RANBP1/NME1/PA2G4/PCNA/DDX39A/SNRPB/TUBG1/DUT/CDK4/XRCC6/NASP/KPNA2/MCM7/RNASEH2A/PSIP1/SMC4/PRDX4/HNRNPD/UNG/PHF5A/CDK1/RAN/RRM2/STMN1/UBE2T/MCM3/PRPS1/MAD2L1/RFC2/MCM5/RPA2/HELLS/SRSF1/RAD51AP1/CKS2/MCM6/RBBP7/HMGA1/TK1/CENPM/LMNB1/CTPS1/DCTPP1/DEK/SRSF2/PAICS/RPA3/SPC25/DNMT1/SMC1A/PSMC3IP/CBX5/CCNE1/SSRP1/GINS4/ASF1B/POLD2/TBRG4/SHMT1/ANP32E/LIG1/TOP2A/PRIM2/EXOSC8/SLBP/DONSON/DSCC1/RFC3/ASF1A/MTHFD2/TMPO/POLD1/AURKB/CKS1B/EIF2S1/EZH2/MCM2/CDC25A/NOP56/NAP1L1/CHEK1/TRA2B/TACC3/ILF3/POLE4/UBR7/MCM4/KIF22/TIMELESS/HMGB2/PRKDC/CSE1L/CDCA3/ATAD2"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",105,-0.673567637649073,-2.51868258401795,3.0069681290685e-10,5.01161354844749e-09,3.05972195589426e-09,545,"tags=37%, list=7%, signal=35%","PDK3/PPP1R15A/PNRC1/PLIN2/DTNA/FOXO3/ALDOA/MYH9/TMEM45A/EFNA3/PFKP/PIM1/MXI1/ZNF292/ALDOC/HK1/ERO1A/ADM/HK2/PGM1/STC2/GPI/TPI1/TPD52/RBPJ/BNIP3L/WSB1/DDIT3/ENO2/AK4/PGK1/P4HA1/LDHA/SLC2A3/MIF/SLC2A1/FAM162A/MT1E/MT2A"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",171,0.531700575989366,1.91430760251576,4.26764646596803e-07,5.33455808246004e-06,3.25688809244929e-06,1588,"tags=44%, list=20%, signal=36%","NDUFC2/SLC25A5/NDUFB8/LDHB/MDH1/MDH2/NDUFB1/MGST3/CYCS/UQCR11/NDUFB6/PRDX3/NDUFS6/HSD17B10/VDAC1/MRPS15/NDUFB3/COX8A/UQCRC1/NDUFB2/BAX/IDH2/SDHB/GOT2/CYC1/SLC25A4/NDUFA9/PHB2/DLD/NDUFS3/UQCRB/CYB5R3/COX6A1/ATP6V0B/COX5A/OAT/PMPCA/POLR2F/NDUFB7/PDHB/ETFA/SLC25A3/GLUD1/AIFM1/SUCLA2/ACO2/RHOT2/ECHS1/VDAC3/SDHD/NDUFS2/COX7B/NDUFS8/SLC25A11/HSPA9/IDH3G/SUCLG1/UQCRQ/ACADVL/NDUFA3/ABCB7/NDUFV1/TIMM8B/IDH3B/HADHB/MRPS11/NDUFAB1/NDUFA5/TOMM22/NDUFA4/NDUFS7/TIMM50/MRPS22/NDUFA8/PDHA1/IDH3A"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",171,0.48402885621385,1.74267277699115,2.88489803064206e-05,0.000288489803064206,0.000176130616607621,1203,"tags=35%, list=15%, signal=30%","HSPA8/DDX39A/CDK4/EWSR1/NASP/KPNA2/GINS2/SMC4/HNRNPD/CDK1/STMN1/MCM3/BUB3/SFPQ/MAD2L1/MCM5/RPA2/SRSF1/CKS2/MCM6/HMGA1/CHAF1A/SNRPD1/LMNB1/TFDP1/TOP1/SRSF2/SMC2/SMC1A/G3BP1/SRSF10/NCL/RBM14/TOP2A/PRIM2/DTYMK/CDC6/UBE2C/NUSAP1/HNRNPU/SMARCC1/TMPO/AURKB/CKS1B/EZH2/MCM2/CDC25A/MEIS2/NDC80/KIF5B/CHEK1/CCNA2/TRA2B/TACC3/MNAT1/ILF3/HIF1A/RAD23B/KIF22/CCND1"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",51,0.643856170221294,1.95000713527914,3.59048202064527e-05,0.000299206835053772,0.000182673646664408,2145,"tags=69%, list=27%, signal=50%","HSPD1/PA2G4/HSPE1/NPM1/CDK4/UNG/SRM/MCM5/DCTPP1/GRWD1/IPO4/DDX18/TBRG4/TCOF1/EXOSC5/NOP56/FARSA/BYSL/LAS1L/MCM4/RRP9/NOC4L/NDUFAF4/TMEM97/GNL3/PPAN/CBX3/NOP2/SORD/MRTO4/RABEPK/NIP7/PES1/AIMP2/UTP20"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",127,0.500091577539001,1.73393028027916,0.000191604223989823,0.00136860159992731,0.000835567292587198,1622,"tags=42%, list=20%, signal=34%","NME1/PCNA/DUT/IMPDH2/TYMS/ZWINT/ADRM1/DAD1/FEN1/POLR2K/ARL6IP1/GTF2A2/RFC2/RPA2/RFC4/BCAP31/RPA3/UPF3B/RAD51/TMED2/SF3A3/SSRP1/RFC5/LIG1/POLR2F/POLR2J/CETN2/RAE1/RFC3/AK1/DDB1/HPRT1/POLD1/NELFE/CSTF3/NELFCD/POLR2G/ALYREF/ITPA/POLE4/SDCBP/NCBP2/EDF1/UMPS/NUDT9/RALA/APRT/POLR2E/MPC2/POLA2/POLD3/PNP/SNAPC5"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",88,0.522950687633913,1.72782191182772,0.00046873267115783,0.00292957919473644,0.00178858519257593,1315,"tags=39%, list=17%, signal=33%","PSAT1/NPM1/BANF1/PDIA6/EIF4A2/EIF4A1/CALR/TUBB2A/EIF4A3/HSPA5/FUS/ATP6V0D1/HSP90B1/EIF4E/EEF2/SPCS1/SEC11A/EXOSC1/MTHFD2/CKS1B/SPCS3/EIF2S1/EXOSC5/HSPA9/NOP56/DDIT4/KHSRP/KIF5B/EIF4G1/SDAD1/EXOSC9/EXOSC4/LSM1/RRP9"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",72,-0.518917572082772,-1.83151093500634,0.00127566984671791,0.00708705470398841,0.00432683339822451,1721,"tags=50%, list=22%, signal=40%","B4GALT1/EGR1/KLF10/SNN/EDN1/CEBPB/BTG3/MYC/JUN/SQSTM1/PHLDA1/TNIP2/LITAF/IRS2/RHOB/TRIB1/KLF6/IFNGR2/SDC4/MARCKS/CCNL1/NFAT5/TGIF1/B4GALT5/PPP1R15A/PNRC1/NAMPT/NINJ1/TRIP10/MCL1/IER2/EIF1/DUSP4/TNIP1/SAT1/SLC2A3"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",132,0.460264622705533,1.59743523022948,0.00200818203449085,0.0100409101724542,0.00613023989476154,1069,"tags=27%, list=13%, signal=23%","TKT/MDH2/MGST3/UQCR11/TALDO1/PRDX3/COX8A/UQCRC1/NMT1/APOE/DNAJC15/SDHB/SCP2/CYC1/HADH/SOD1/DLD/SAMM50/NDUFS3/MTCH2/HIBCH/ATP1B3/COX6A1/NDUFB7/GHITM/CMPK1/AIFM1/ACO2/ECHS1/COX7B/ESYT1/SLC1A5/IDH3G/SUCLG1/UQCRQ"
