"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"RPS10";2.97939589075291e-228;0.350225807310001;0.985;0.949;1.00387765143028e-223
"RPL41";1.3261197535718e-180;0.164282902821449;1;1;4.46822789768481e-176
"RPL26";2.5358004070027e-144;0.164510458036617;1;1;8.54412589135491e-140
"RPS21";7.30689145820618e-139;0.202491790217576;1;0.997;2.46198400792799e-134
"MIF";3.47533455524432e-131;-0.290172624174586;0.983;0.985;1.17097922504402e-126
"AC090498.1";7.4199785080375e-114;-0.277411527701382;0.945;0.947;2.50008755849815e-109
"BNIP3";8.24338628036008e-83;-0.486541591239291;0.708;0.754;2.77752657330453e-78
"NDUFA11";1.2383597752287e-77;0.220905676056828;0.936;0.855;4.17252942665559e-73
"NDUFC2";2.30822735207534e-77;0.242268356625851;0.906;0.793;7.77734124008266e-73
"PSMA2";1.44326478412963e-67;0.216756249726236;0.746;0.585;4.86293636364639e-63
"YBX1";5.88571096742995e-64;0.156618378664408;0.999;0.998;1.98313145336585e-59
"MT1X";3.97494985556722e-63;-0.616450759658203;0.605;0.69;1.33931960433482e-58
"HSP90AB1";5.87369058137161e-59;0.201304310281763;0.997;0.992;1.97908130448735e-54
"TUBB";2.66290678142963e-58;0.172855282429194;0.999;0.999;8.972398109349e-54
"RPL36A";1.7910130291698e-56;0.163821205369252;0.982;0.956;6.03463930048471e-52
"HSP90AA1";9.6057432124707e-54;0.253229888469935;0.998;0.988;3.23655911800988e-49
"RPS28";9.49791006670157e-53;-0.101004646002608;1;1;3.20022581787443e-48
"MINOS1";1.50783978224018e-52;0.186279015699178;0.803;0.663;5.08051536228005e-48
"PABPC1";3.38131935275959e-51;0.142255513657145;0.997;0.992;1.13930174271882e-46
"HSPA8";2.54322093336622e-48;0.204383077288217;0.976;0.933;8.56912861288415e-44
"TUBA1B";6.83485397894073e-48;0.242732975045167;0.999;0.994;2.30293569966429e-43
"HNRNPA2B1";1.99350304503061e-47;0.179278472615772;0.978;0.94;6.71690915992612e-43
"GAPDH";1.39656916842037e-44;0.10887864369831;1;1;4.70560015607558e-40
"HSPD1";2.16196637992467e-43;0.179427418311318;0.969;0.916;7.28452952051817e-39
"LDHB";1.26735366798994e-41;0.139734215195106;0.999;0.995;4.27022144892531e-37
"HNRNPM";4.90416137502299e-41;0.185995067525121;0.893;0.783;1.65240813370025e-36
"FAM162A";6.4498727789543e-41;-0.341424444294769;0.744;0.753;2.17322013414086e-36
"NDUFB8";1.8320696272591e-39;0.152212704245851;0.905;0.811;6.1729754020868e-35
"NOVA1";2.63537100803751e-39;0.0947785947379142;0.407;0.273;8.87961907448157e-35
"SLC25A5";2.67028975810415e-39;0.155982534785765;0.973;0.933;8.99727431095614e-35
"RPL27";6.47197122884934e-39;0.0786802235379858;1;1;2.1806659858485e-34
"RANBP1";1.18034339451452e-38;0.165471712449935;0.973;0.943;3.97704903347723e-34
"CFL1";6.42381429132795e-38;0.123009634928279;0.999;0.995;2.16443998732004e-33
"PPP4C";1.50917364155969e-37;0.150794603898694;0.82;0.688;5.08500966787121e-33
"UHRF1";1.78104603927157e-36;0.0861617862768964;0.226;0.134;6.00105652472163e-32
"H3F3B";2.39218682152511e-36;-0.186956192215853;1;0.997;8.06023427644669e-32
"C20orf24";4.16881674034825e-36;0.121008636729379;0.642;0.495;1.40464111249294e-31
"MT1G";1.60604304191418e-35;-0.591372077173303;0.205;0.293;5.41140142542564e-31
"RPL12";1.66435249359721e-35;-0.0893943160225747;1;1;5.60786929192646e-31
"FAU";6.95586599492714e-35;0.078285944701082;1;1;2.34370948833075e-30
"C4orf3";8.55486242495323e-35;-0.223808222951013;0.875;0.861;2.88247534546374e-30
"PCNA";1.01738915520397e-34;0.124878395113195;0.574;0.437;3.42799101954427e-30
"AHCY";1.05947471384172e-34;0.137327929116398;0.779;0.653;3.56979410081829e-30
"YWHAQ";1.50389460837364e-34;0.137869696270838;0.936;0.862;5.06722249345413e-30
"PRDX6";2.50928985433709e-34;0.142473061281196;0.983;0.954;8.45480123520338e-30
"HMGB1";3.96000469347675e-34;0.143592475496218;0.995;0.985;1.33428398142006e-29
"TUBA1A";4.6292349416725e-34;0.26234038168436;0.959;0.904;1.55977442124713e-29
"DNAJA1";1.0798582184298e-33;0.154336708227805;0.842;0.72;3.63847428117737e-29
"ATP5O";1.35267834629007e-32;0.106512513236582;0.993;0.978;4.55771441998975e-28
"TAX1BP3";1.91071262214168e-32;0.100568475092555;0.479;0.353;6.43795510904417e-28
"SLC2A1";1.97459387601816e-32;-0.310421376119272;0.49;0.533;6.6531966058556e-28
"RPL23A";3.1477928018958e-32;0.0824162264188226;1;0.999;1.06061730667077e-27
"H2AFZ";6.91420629442952e-32;0.129376855008442;0.999;0.996;2.32967266884508e-27
"RPSA";6.94453168589706e-32;-0.0786264717728331;1;1;2.33989050624615e-27
"TUBG1";2.07546467336398e-31;0.104052244953986;0.557;0.425;6.99307067043259e-27
"MT-CYB";2.32673589284617e-31;0.158227440742919;0.972;0.955;7.83970391735587e-27
"H2AFY";4.52252738411665e-31;0.163355775163299;0.634;0.518;1.52382037680426e-26
"FEN1";5.2114511318551e-31;0.0815916942676305;0.451;0.326;1.75594634436726e-26
"KIAA0101";5.57838903799448e-31;0.168538337849479;0.689;0.57;1.87958240246186e-26
