"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"RPS10";2.97939589075291e-228;0.350225807310001;0.985;0.949;1.00349032996449e-223
"MIF";3.47533455524432e-131;-0.290172624174586;0.983;0.985;1.17052743155184e-126
"AC090498.1";7.4199785080375e-114;-0.277411527701382;0.945;0.947;2.49912296129211e-109
"BNIP3";8.24338628036008e-83;-0.486541591239291;0.708;0.754;2.77645493308808e-78
"MT1X";3.97494985556722e-63;-0.616450759658203;0.605;0.69;1.3388028608536e-58
"HSP90AA1";9.6057432124707e-54;0.253229888469935;0.998;0.988;3.23531037139226e-49
"FAM162A";6.4498727789543e-41;-0.341424444294769;0.744;0.753;2.1723816506796e-36
"MT1G";1.60604304191418e-35;-0.591372077173303;0.205;0.293;5.40931356947115e-31
"TUBA1A";4.6292349416725e-34;0.26234038168436;0.959;0.904;1.55917262070471e-29
"SLC2A1";1.97459387601816e-32;-0.310421376119272;0.49;0.533;6.65062963381678e-28
"IFITM1";9.91707671309639e-25;-0.284380826519263;0.36;0.416;3.34017060773799e-20
"SLC2A3";6.45141042717409e-23;-0.273693047630619;0.504;0.54;2.17289954597651e-18
"LDHA";9.94979673802388e-22;-0.263914762416813;0.899;0.892;3.35119103933382e-17
"MT1E";1.51953774840044e-20;-0.415972240594441;0.252;0.315;5.11795509038753e-16
"MT2A";1.16132645334349e-19;-0.4203198588134;0.422;0.472;3.91146362750621e-15
"MT1H";1.56275903032711e-11;-0.282902969079806;0.117;0.157;5.26352869004475e-07
