p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.9496401030688766,0.994,0.859,0,0,DLK1
0,0.7796002642565127,0.94,0.669,0,0,TMSB15A
1.4087799850954586e-302,0.7517068124410384,0.981,0.712,4.744911867800014e-298,0,VIM
5.935943912917788e-293,0.6989064052304832,0.964,0.836,1.99928526930984e-288,0,CENPV
8.574895236977655e-291,0.7368763422851743,0.917,0.69,2.888110464766444e-286,0,METRN
1.3836175748579229e-250,0.6327720067781009,1,0.995,4.660162353878971e-246,0,TUBA1B
1.1440683630102524e-245,0.49854934676647966,0.995,0.969,3.853336653454831e-241,0,ATP5E
3.027607841045064e-239,0.623971829113648,0.819,0.513,1.0197285969423879e-234,0,H2AFY
1.5964669259822002e-226,0.5971308786573917,0.858,0.485,5.377060253400649e-222,0,PRSS23
5.868850955984292e-224,0.6165716214283743,0.946,0.821,1.9766876904850692e-219,0,CSRP2
1.236074555558797e-204,0.7759009209229437,0.801,0.544,4.163222710577584e-200,0,PTN
4.699411238830437e-186,0.6453557457028163,0.975,0.918,1.5828086993504795e-181,0,TUBA1A
7.780614666853702e-183,0.5566936219965973,0.774,0.533,2.620588825942995e-178,0,IDH2
3.2525107854787894e-180,0.576301039839236,0.646,0.344,1.095478157657111e-175,0,FABP7
3.5847831443578692e-180,0.6251605889967204,0.833,0.592,1.2073908108511739e-175,0,NNAT
1.9319682051501432e-172,0.6517443701873458,0.908,0.766,6.507062111766198e-168,0,SFRP2
8.727642013980152e-160,0.5592266135657393,0.755,0.503,2.939557106728655e-155,0,TPBG
3.013876604334862e-147,0.5937453021982089,0.815,0.604,1.0151037791060249e-142,0,GPC3
5.081349907679831e-115,0.5360542116526634,0.742,0.596,1.711449462405644e-110,0,KIAA0101
1.0513376399461727e-17,0.49191742984811615,0.898,0.889,3.5410103051027043e-13,0,HIST1H4C
0,1.8623151899775976,0.991,0.608,0,1,TERF1
0,1.845491651750113,0.998,0.52,0,1,POU5F1
0,1.6061541990230614,0.962,0.268,0,1,RP11-568A7.4
0,1.5589754403640623,0.952,0.191,0,1,TDGF1
0,1.4798876452656566,1,0.947,0,1,CD24
0,1.2881267565481183,0.994,0.555,0,1,RP11-148B6.1
0,1.262666355420671,0.984,0.511,0,1,PLA2G16
0,1.2349978846980258,0.899,0.214,0,1,UTF1
0,1.2342173531778413,0.914,0.272,0,1,NMRK2
0,1.2020446400801574,0.912,0.187,0,1,RP11-1144P22.1
0,1.1479681981443601,0.928,0.343,0,1,SCGB3A2
0,1.1351119521824442,0.93,0.312,0,1,RARRES2
0,1.1306154247105324,0.917,0.236,0,1,PODXL
0,1.0943320182058958,0.986,0.796,0,1,FABP5
0,1.070259984918488,0.932,0.35,0,1,DNMT3B
0,1.0663944445626148,0.94,0.41,0,1,JARID2
0,1.0419809044851749,0.861,0.261,0,1,GAL
5.7138408591738145e-267,1.9351357604915662,0.564,0.198,1.9244787397783325e-262,1,MT1G
1.0450951933421416e-230,1.350542378128425,0.375,0.096,3.519985120695667e-226,1,MT1H
2.514528421204437e-181,1.6010566639959225,0.88,0.611,8.469183175458665e-177,1,MT1X
0,1.388968972218636,0.864,0.306,0,2,LHX5-AS1
0,1.1764264552895547,0.971,0.576,0,2,RP11-148B6.1
0,1.1341894215349537,0.7,0.182,0,2,LMO1
0,0.8892044668519702,0.714,0.242,0,2,HESX1
0,0.7396619335340269,0.657,0.171,0,2,LHX5
1.0483124648363415e-224,0.7038765277114172,0.941,0.654,3.5308212128152817e-220,2,TNNT1
2.419797108062614e-223,0.7209362800004314,0.67,0.281,8.15011863966569e-219,2,FEZ1
