"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"RPS10";7.84432411835489e-188;0.353997306884109;0.988;0.953;2.64204680630311e-183
"RPL41";2.84133108222174e-163;0.173952306817808;1;1;9.56988721803104e-159
"RPL26";5.74886150702525e-120;0.166821403286337;1;1;1.93627404418117e-115
"RPS21";1.08153511428249e-115;0.200931253165875;1;0.997;3.64271841841486e-111
"MIF";2.63306173938579e-108;-0.290528190760968;0.985;0.986;8.86841524442527e-104
"AC090498.1";1.10836482244312e-84;-0.266676738743942;0.951;0.951;3.73308355847068e-80
"GAPDH";5.79762730830629e-59;0.14558417667777;1;1;1.95269885371064e-54
"NDUFC2";2.58960943021725e-58;0.236577242670264;0.913;0.813;8.72206352191471e-54
"NDUFA11";4.46675011645253e-52;0.202813075363671;0.943;0.876;1.50444610672238e-47
"BNIP3";3.5929948329254e-50;-0.437872112537765;0.704;0.738;1.2101565896776e-45
"YBX1";4.4700924181929e-50;0.14943108336657;1;0.998;1.50557182737155e-45
"HSP90AB1";7.88567383290963e-50;0.200061759797471;0.997;0.994;2.65597380366229e-45
"MT1X";1.2860082634094e-49;-0.679099746507056;0.613;0.699;4.33140443198922e-45
"RPL36A";1.76815894477888e-48;0.171907459436407;0.986;0.963;5.95533614190975e-44
"PSMA2";2.51372459067525e-48;0.205934303661702;0.743;0.59;8.4664757938533e-44
"TUBB";4.52638712846803e-45;0.160004042601501;1;0.999;1.52453244873932e-40
"PABPC1";7.78580665161732e-43;0.144330745615005;0.997;0.993;2.62233753833123e-38
"LDHB";6.15186793770434e-41;0.152117693822136;0.999;0.996;2.0720106400982e-36
"HSP90AA1";8.38647537959202e-38;0.232114575466103;0.998;0.992;2.82464877260039e-33
"SLC25A5";6.05984223924066e-34;0.16182615531778;0.971;0.935;2.04101546459865e-29
"HSPA8";8.41864882634431e-34;0.19438916734907;0.978;0.942;2.83548511120103e-29
"NPM1";1.21430697384676e-33;0.127552802872074;1;1;4.08990731861327e-29
"MINOS1";6.42329106614075e-33;0.162220424141406;0.816;0.696;2.16342866398687e-28
"RPL27";6.95260901298638e-33;0.0809077797831899;1;1;2.34170824166394e-28
"HSPD1";1.09290775100469e-32;0.172102545281277;0.968;0.921;3.68102259615888e-28
"FAU";1.92456058441835e-32;0.085408782261613;1;1;6.48211250437946e-28
"RPL23A";9.19769016263392e-32;0.0908694123587317;1;1;3.09787402367673e-27
"RPS28";1.17358778000935e-31;-0.0852044884229253;1;1;3.95276100184949e-27
"NOVA1";3.82204153847932e-31;0.102255065555932;0.44;0.299;1.28730181057522e-26
"NDUFB8";2.04975044264247e-30;0.152594749588013;0.91;0.827;6.9037644658641e-26
"RPLP2";3.1121103058046e-30;0.062827706899192;1;1;1.04818987209805e-25
"PPP4C";5.38632050544093e-29;0.148870988926295;0.831;0.703;1.81416660943756e-24
"RPL14";6.60527357634142e-29;0.0680158595078071;1;1;2.22472219324755e-24
"UHRF1";7.66105435695964e-28;0.085662524481715;0.243;0.148;2.58031971796757e-23
"H3F3B";1.38753705320828e-27;-0.168107834456394;1;0.997;4.67336354891082e-23
"HNRNPA2B1";1.74345027298763e-27;0.140834433085581;0.982;0.952;5.87211486444964e-23
"PRDX6";1.76290792218798e-27;0.143036850860309;0.984;0.956;5.93765017272133e-23
"TUBA1B";3.40622304471914e-27;0.19620192679504;0.999;0.996;1.14724998369185e-22
"ST13";6.12112702071997e-27;0.134670748164045;0.969;0.92;2.06165679184869e-22
"KDELR1";1.58522339723137e-26;0.145554833438226;0.917;0.828;5.33919092421498e-22
"ATP5O";3.09838696124871e-26;0.10509844389447;0.995;0.982;1.04356771241818e-21
"RPSA";6.41303955069072e-26;-0.0749863622113542;1;1;2.15997585106814e-21
"C4orf3";8.60917697539331e-26;-0.211187509031787;0.874;0.862;2.89965689708222e-21
"RPL12";9.63634256561721e-26;-0.079920817969481;1;1;3.24561653952553e-21
"AHCY";9.66730936860398e-26;0.137527294908791;0.782;0.665;3.25604646843951e-21
"HNRNPM";1.13394562296679e-25;0.158279144179697;0.899;0.81;3.81924225271443e-21
"TUBA1A";1.43976410418348e-25;0.250747773683337;0.965;0.922;4.84926947930039e-21
"MT1G";1.7598937319169e-25;-0.627927739016262;0.213;0.298;5.9274980784693e-21
"RPL37";2.39309014591982e-25;-0.0717848665401517;1;1;8.06016692047255e-21
"FAM162A";8.3722852491568e-25;-0.317243115078548;0.742;0.747;2.8198693947685e-20
"VIM";8.70110773826e-25;0.265013903646017;0.824;0.764;2.93062009732335e-20
"H2AFY";1.23656536968214e-24;0.165769658446386;0.66;0.544;4.16487582162643e-20
"DNAJA1";4.01306327338643e-24;0.139127862574715;0.848;0.736;1.35163984110928e-19
"GPC3";4.28133617316297e-24;0.226781008544211;0.723;0.607;1.44199683648302e-19
"TAX1BP3";4.7739587735826e-24;0.0964036596798352;0.474;0.352;1.60791705453036e-19
"EIF3I";1.57671435328236e-23;0.130116989779019;0.885;0.796;5.31053161329033e-19
"TKT";1.64337780762533e-23;0.143449265272325;0.925;0.848;5.53506079386286e-19
"SLC2A1";2.35153664226263e-23;-0.281614754537467;0.495;0.535;7.92021056480477e-19
"C20orf24";5.7449009512063e-23;0.110412591990996;0.652;0.519;1.93494008937579e-18
"CCT3";8.3460071309007e-22;0.133382246331667;0.914;0.84;2.81101866175866e-17
"RANBP1";1.51863833305342e-21;0.129234405231585;0.979;0.957;5.11492576955722e-17
"PCNA";2.33263717951277e-21;0.102464069253442;0.59;0.464;7.85655528431696e-17
