p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
0;0.952568568783695;0.994;0.876;0;0;DLK1
1.20087506679206e-310;0.801325418762834;0.98;0.721;4.04466731246234e-306;0;VIM
3.05828014145809e-233;0.768044958170645;0.977;0.929;1.0300593344445e-228;0;TUBA1A
5.96380887348883e-166;0.746778266715108;0.792;0.583;2.00867046667977e-161;0;PTN
9.56642889830258e-192;0.734983074052965;0.822;0.6;3.22206891723729e-187;0;GPC3
4.56134875511501e-271;0.686859750568723;0.941;0.715;1.53630787421029e-266;0;TMSB15A
4.25021236275873e-259;0.650312210082906;1;0.997;1.43151402590077e-254;0;TUBA1B
3.15277298964406e-225;0.620597152231814;0.918;0.736;1.06188547064201e-220;0;METRN
2.38582110411067e-227;0.614307751414341;0.815;0.516;8.03568406075514e-223;0;H2AFY
2.02149477987717e-219;0.613890689816692;0.945;0.85;6.80859656810428e-215;0;CSRP2
1.24545505531538e-277;2.13882776557639;0.564;0.18;4.19481717180773e-273;1;MT1G
0;2.12727344670283;0.998;0.472;0;1;POU5F1
0;1.9390588755507;0.991;0.593;0;1;TERF1
7.87459657123326e-189;1.74664652929734;0.879;0.602;2.65224287115707e-184;1;MT1X
0;1.71183015219457;0.961;0.231;0;1;RP11-568A7.4
0;1.68768485375898;0.949;0.163;0;1;TDGF1
0;1.65182986857329;1;0.946;0;1;CD24
0;1.5125616310473;0.984;0.46;0;1;PLA2G16
7.62118491779407e-225;1.4397756841481;0.375;0.087;2.56689129216222e-220;1;MT1H
0;1.38859669019814;0.915;0.234;0;1;NMRK2
0;1.28538082790574;0.826;0.37;0;2;COL2A1
2.86272259284191e-307;1.2362247971889;0.99;0.89;9.64193596495083e-303;2;DLK1
1.54985122943166e-284;1.18697645935388;0.98;0.971;5.22005392584877e-280;2;CRABP1
1.17653769301742e-249;1.11922744383832;0.767;0.43;3.96269660385196e-245;2;IGFBP5
9.59506582087347e-264;0.961953652631362;0.876;0.529;3.23171411912839e-259;2;PRSS23
1.51387914072274e-180;0.867135107912193;0.73;0.497;5.09889633386828e-176;2;EFNA5
1.86971526234256e-136;0.863020743249537;0.394;0.156;6.29738797509597e-132;2;DAPL1
1.05372161254218e-257;0.84511074839871;0.976;0.75;3.54903976320333e-253;2;VIM
1.62254796562562e-216;0.832998925405721;0.691;0.372;5.46490380302365e-212;2;ZNF436-AS1
5.1343827239925e-138;0.814951221427391;0.896;0.856;1.72931144526791e-133;2;SFRP2
0;1.49665523776265;0.866;0.287;0;3;LHX5-AS1
0;1.24483595720798;0.697;0.159;0;3;LMO1
3.60577811773639e-295;1.18091364817976;0.973;0.563;1.21446212783479e-290;3;RP11-148B6.1
9.86470375956228e-223;0.964257561397376;0.794;0.395;3.32253087325817e-218;3;SHISA2
8.43134262656335e-311;0.90301515450289;0.716;0.245;2.8397605100528e-306;3;HESX1
6.5223368925437e-205;0.812097830660999;0.58;0.2;2.19678828877765e-200;3;CYP26A1
0;0.807643318904534;0.663;0.148;0;3;LHX5
3.73440157018779e-235;0.775833993118302;0.942;0.641;1.25778379285495e-230;3;TNNT1
4.04181483381627e-195;0.726727147253526;0.968;0.582;1.36132365417766e-190;3;CLDN6
7.26519764054882e-153;0.686254096325707;0.973;0.848;2.44699121731325e-148;3;SFRP1
0;1.78758719672935;0.978;0.66;0;4;UBE2C
0;1.59196145420553;1;0.851;0;4;HMGB2
0;1.48878752066703;0.956;0.553;0;4;CENPF
0;1.38575968297529;0.994;0.81;0;4;PTTG1
0;1.34504774304643;0.893;0.445;0;4;TOP2A
0;1.33678412618639;0.938;0.619;0;4;ARL6IP1
2.77986271617833e-268;1.20908161236974;0.957;0.755;9.36285561436024e-264;4;KPNA2
0;1.20170913632078;0.857;0.361;0;4;CDKN3
2.69833784493877e-316;1.18637144949311;0.898;0.49;9.08827169553828e-312;4;CDC20
3.85916127205382e-313;1.15136358635174;0.966;0.722;1.29980410804045e-308;4;UBE2S
5.50727690998994e-243;2.0358510496636;0.996;0.759;1.85490593605371e-238;5;KRT18
5.30230866415397e-291;1.81915920037058;1;0.614;1.7858705811737e-286;5;CLDN6
7.50014953228376e-281;1.69134494827944;1;0.972;2.52612536396849e-276;5;APOE
1.15231507055349e-314;1.68931940145765;0.977;0.361;3.88111238913123e-310;5;EPCAM
3.15607512416549e-161;1.60442754416163;0.979;0.732;1.06299766257018e-156;5;KRT8
4.89577775460164e-240;1.46830376314876;1;0.995;1.64894690552738e-235;5;HSP90AA1
4.89079917334421e-205;1.35268853252693;0.976;0.535;1.64727006957406e-200;5;L1TD1
4.89404265050129e-208;1.32622468544689;0.987;0.683;1.64836250511534e-203;5;HSP90B1
1.55157905815666e-143;1.29412053170033;0.989;0.837;5.22587342577746e-139;5;FABP5
1.50374456191788e-191;1.2849734696381;0.979;0.594;5.06476205899561e-187;5;UGP2
