"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",7.84432411835489e-188,0.353997306884109,0.988,0.953,2.64204680630311e-183
"RPS21",1.08153511428249e-115,0.200931253165875,1,0.997,3.64271841841486e-111
"MIF",2.63306173938579e-108,-0.290528190760968,0.985,0.986,8.86841524442527e-104
"AC090498.1",1.10836482244312e-84,-0.266676738743942,0.951,0.951,3.73308355847068e-80
"NDUFC2",2.58960943021725e-58,0.236577242670264,0.913,0.813,8.72206352191471e-54
"NDUFA11",4.46675011645253e-52,0.202813075363671,0.943,0.876,1.50444610672238e-47
"BNIP3",3.5929948329254e-50,-0.437872112537765,0.704,0.738,1.2101565896776e-45
"HSP90AB1",7.88567383290963e-50,0.200061759797471,0.997,0.994,2.65597380366229e-45
"MT1X",1.2860082634094e-49,-0.679099746507056,0.613,0.699,4.33140443198922e-45
"PSMA2",2.51372459067525e-48,0.205934303661702,0.743,0.59,8.4664757938533e-44
"HSP90AA1",8.38647537959202e-38,0.232114575466103,0.998,0.992,2.82464877260039e-33
"C4orf3",8.60917697539331e-26,-0.211187509031787,0.874,0.862,2.89965689708222e-21
"TUBA1A",1.43976410418348e-25,0.250747773683337,0.965,0.922,4.84926947930039e-21
"MT1G",1.7598937319169e-25,-0.627927739016262,0.213,0.298,5.9274980784693e-21
"FAM162A",8.3722852491568e-25,-0.317243115078548,0.742,0.747,2.8198693947685e-20
"VIM",8.70110773826e-25,0.265013903646017,0.824,0.764,2.93062009732335e-20
"GPC3",4.28133617316297e-24,0.226781008544211,0.723,0.607,1.44199683648302e-19
"SLC2A1",2.35153664226263e-23,-0.281614754537467,0.495,0.535,7.92021056480477e-19
"IFITM1",2.57154647961307e-21,-0.290103195206353,0.364,0.424,8.66122569798479e-17
"MT2A",1.00627761752808e-19,-0.475723717675469,0.42,0.484,3.38924364359632e-15
"SLC2A3",6.00153354913002e-18,-0.280555650715861,0.48,0.52,2.02137651468248e-13
"MT1E",1.37463475927012e-16,-0.437186338181079,0.254,0.319,4.62990733269769e-12
"MT1H",2.92819936972461e-11,-0.320692103442938,0.122,0.168,9.86246829716946e-07
