p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
0;2.31361728618195;0.994;0.81;0;0;DLK1
0;1.44298981572057;0.98;0.615;0;0;VIM
0;1.38860985598846;0.869;0.341;0;0;PRSS23
0;1.35562299290183;0.973;0.909;0;0;CRABP1
0;1.2956426255057;0.707;0.21;0;0;COL2A1
0;1.14952794796221;0.729;0.314;0;0;IGFBP5
0;1.11844858347898;0.886;0.729;0;0;SFRP2
0;1.08737018878861;0.898;0.62;0;0;METRN
0;0.998503357105099;0.665;0.238;0;0;ZNF436-AS1
0;0.962148835168823;0.75;0.529;0;0;PMEL
0;1.89832484455569;0.983;0.591;0;1;TERF1
5.10165361753797e-281;1.86960621818945;0.53;0.188;1.71895116989324e-276;1;MT1G
0;1.86122995358858;0.994;0.498;0;1;POU5F1
0;1.6492279248404;0.939;0.24;0;1;RP11-568A7.4
0;1.5348097247776;1;0.945;0;1;CD24
0;1.52317223603578;0.895;0.167;0;1;TDGF1
1.22468055180357e-182;1.49931987157597;0.855;0.604;4.12643865124695e-178;1;MT1X
0;1.45102591570819;0.992;0.534;0;1;RP11-148B6.1
2.20497950110802e-213;1.27567694647768;0.336;0.092;7.42945793103335e-209;1;MT1H
0;1.24586951855992;0.916;0.317;0;1;SCGB3A2
0;2.04197341373545;0.99;0.77;0;2;KRT18
0;1.91974782683379;0.725;0.136;0;2;HAPLN1
0;1.747187786527;0.981;0.738;0;2;KRT8
0;1.61223769053084;0.765;0.34;0;2;S100A11
0;1.42106076353747;0.987;0.619;0;2;CLDN6
0;1.41688833415251;0.908;0.54;0;2;KRT19
1.23721218209854e-312;1.12754965287552;0.954;0.672;4.16866272636283e-308;2;LY6E
0;1.11009613217616;0.832;0.37;0;2;EPCAM
0;1.07465628979317;0.399;0.071;0;2;CXCL14
3.07290764962244e-230;0.993246198392682;0.995;0.969;1.03538550346378e-225;2;APOE
0;1.67834771512649;0.97;0.642;0;3;UBE2C
0;1.63313151958539;1;0.83;0;3;HMGB2
0;1.50850707015245;0.95;0.509;0;3;CENPF
0;1.39950161162713;0.991;0.787;0;3;PTTG1
0;1.33498165614952;0.884;0.414;0;3;TOP2A
0;1.29922405473789;0.934;0.602;0;3;ARL6IP1
0;1.19674633309266;0.962;0.688;0;3;UBE2S
0;1.17714924465881;0.843;0.338;0;3;CDKN3
0;1.14795469684219;0.889;0.469;0;3;CDC20
0;1.14360861227714;0.993;0.89;0;3;CKS2
0;1.44083832314637;0.887;0.318;0;4;LHX5-AS1
0;1.12183807536209;0.732;0.192;0;4;LMO1
1.35398193124665e-242;1.11182890068586;0.965;0.587;4.56210671914247e-238;4;RP11-148B6.1
0;1.01304684160899;0.778;0.249;0;4;HESX1
9.79910954197994e-213;0.897555879452887;0.838;0.407;3.30171196907472e-208;4;SHISA2
2.12558230730317e-215;0.876686857303379;0.982;0.803;7.16193702622731e-211;4;SFRP1
4.44242104686668e-263;0.849455014760289;0.743;0.284;1.49682934753126e-258;4;FEZ1
1.61767424720028e-175;0.784095928144035;0.91;0.604;5.45059160851663e-171;4;NR6A1
2.04238078162323e-207;0.74741241897112;0.949;0.661;6.88159780560132e-203;4;TNNT1
0;0.72891856537017;0.68;0.182;0;4;LHX5
