"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",2.97939589075291e-228,0.350225807310001,0.985,0.949,1.00387765143028e-223
"RPS21",7.30689145820618e-139,0.202491790217576,1,0.997,2.46198400792799e-134
"MIF",3.47533455524432e-131,-0.290172624174586,0.983,0.985,1.17097922504402e-126
"AC090498.1",7.4199785080375e-114,-0.277411527701382,0.945,0.947,2.50008755849815e-109
"BNIP3",8.24338628036008e-83,-0.486541591239291,0.708,0.754,2.77752657330453e-78
"NDUFA11",1.2383597752287e-77,0.220905676056828,0.936,0.855,4.17252942665559e-73
"NDUFC2",2.30822735207534e-77,0.242268356625851,0.906,0.793,7.77734124008266e-73
"PSMA2",1.44326478412963e-67,0.216756249726236,0.746,0.585,4.86293636364639e-63
"MT1X",3.97494985556722e-63,-0.616450759658203,0.605,0.69,1.33931960433482e-58
"HSP90AB1",5.87369058137161e-59,0.201304310281763,0.997,0.992,1.97908130448735e-54
"HSP90AA1",9.6057432124707e-54,0.253229888469935,0.998,0.988,3.23655911800988e-49
"HSPA8",2.54322093336622e-48,0.204383077288217,0.976,0.933,8.56912861288415e-44
"TUBA1B",6.83485397894073e-48,0.242732975045167,0.999,0.994,2.30293569966429e-43
"FAM162A",6.4498727789543e-41,-0.341424444294769,0.744,0.753,2.17322013414086e-36
"MT1G",1.60604304191418e-35,-0.591372077173303,0.205,0.293,5.41140142542564e-31
"C4orf3",8.55486242495323e-35,-0.223808222951013,0.875,0.861,2.88247534546374e-30
"TUBA1A",4.6292349416725e-34,0.26234038168436,0.959,0.904,1.55977442124713e-29
"SLC2A1",1.97459387601816e-32,-0.310421376119272,0.49,0.533,6.6531966058556e-28
"GPC3",6.52837674065188e-28,0.228787073704254,0.707,0.592,2.19967125899524e-23
"IFITM1",9.91707671309639e-25,-0.284380826519263,0.36,0.416,3.3414598277107e-20
"SLC2A3",6.45141042717409e-23,-0.273693047630619,0.504,0.54,2.17373822933204e-18
"LDHA",9.94979673802388e-22,-0.263914762416813,0.899,0.892,3.35248451290976e-17
"MT1E",1.51953774840044e-20,-0.415972240594441,0.252,0.315,5.11993048946045e-16
"MT2A",1.16132645334349e-19,-0.4203198588134,0.422,0.472,3.91297335189555e-15
"VIM",3.07378373866072e-18,0.206814112420254,0.795,0.736,1.03568069290434e-13
"MT1H",1.56275903032711e-11,-0.282902969079806,0.117,0.157,5.26556027678417e-07
"NEAT1",1.03073747673072e-10,-0.202200901987445,0.496,0.521,3.47296685409649e-06
"H1F0",7.11310515142549e-08,-0.228217434437937,0.6,0.585,0.0023966896497213
